Weight	Nested	Procedure	allsounds	Trigger1	Reps
1		deviants1	beeps/Freq700.wav	130	6
1		deviants1	beeps/Freq700.wav	131	6
1		deviants1	beeps/Freq700.wav	132	6
1		deviants1	beeps/Freq700.wav	133	6
1		deviants1	beeps/Freq700.wav	134	6
1		deviants1	beeps/Freq700.wav	135	6
1		deviants1	beeps/Freq600.wav	90	9
1		deviants1	beeps/Freq600.wav	91	9
1		deviants1	beeps/Freq600.wav	92	9
1		deviants1	beeps/Freq600.wav	93	9
1		deviants1	beeps/Freq600.wav	94	9
1		deviants1	beeps/Freq600.wav	95	9
1		deviants1	beeps/Freq600.wav	96	9
1		deviants1	beeps/Freq600.wav	97	9
1		deviants1	beeps/Freq600.wav	98	9
1		deviants1	beeps/Freq650.wav	110	6
1		deviants1	beeps/Freq650.wav	111	6
1		deviants1	beeps/Freq650.wav	112	6
1		deviants1	beeps/Freq650.wav	113	6
1		deviants1	beeps/Freq650.wav	114	6
1		deviants1	beeps/Freq650.wav	115	6
1		deviants1	beeps/Freq500.wav	50	7
1		deviants1	beeps/Freq500.wav	51	7
1		deviants1	beeps/Freq500.wav	52	7
1		deviants1	beeps/Freq500.wav	53	7
1		deviants1	beeps/Freq500.wav	54	7
1		deviants1	beeps/Freq500.wav	55	7
1		deviants1	beeps/Freq500.wav	56	7
1		deviants1	beeps/Freq400.wav	10	7
1		deviants1	beeps/Freq400.wav	11	7
1		deviants1	beeps/Freq400.wav	12	7
1		deviants1	beeps/Freq400.wav	13	7
1		deviants1	beeps/Freq400.wav	14	7
1		deviants1	beeps/Freq400.wav	15	7
1		deviants1	beeps/Freq400.wav	16	7
1		deviants1	beeps/Freq750.wav	150	6
1		deviants1	beeps/Freq750.wav	151	6
1		deviants1	beeps/Freq750.wav	152	6
1		deviants1	beeps/Freq750.wav	153	6
1		deviants1	beeps/Freq750.wav	154	6
1		deviants1	beeps/Freq750.wav	155	6
1		deviants1	beeps/Freq550.wav	70	10
1		deviants1	beeps/Freq550.wav	71	10
1		deviants1	beeps/Freq550.wav	72	10
1		deviants1	beeps/Freq550.wav	73	10
1		deviants1	beeps/Freq550.wav	74	10
1		deviants1	beeps/Freq550.wav	75	10
1		deviants1	beeps/Freq550.wav	76	10
1		deviants1	beeps/Freq550.wav	77	10
1		deviants1	beeps/Freq550.wav	78	10
1		deviants1	beeps/Freq550.wav	79	10
1		deviants1	beeps/Freq800.wav	170	8
1		deviants1	beeps/Freq800.wav	171	8
1		deviants1	beeps/Freq800.wav	172	8
1		deviants1	beeps/Freq800.wav	173	8
1		deviants1	beeps/Freq800.wav	174	8
1		deviants1	beeps/Freq800.wav	175	8
1		deviants1	beeps/Freq800.wav	176	8
1		deviants1	beeps/Freq800.wav	177	8
1		deviants1	beeps/Freq450.wav	30	2
1		deviants1	beeps/Freq450.wav	31	2
1		deviants1	beeps/Freq550.wav	70	8
1		deviants1	beeps/Freq550.wav	71	8
1		deviants1	beeps/Freq550.wav	72	8
1		deviants1	beeps/Freq550.wav	73	8
1		deviants1	beeps/Freq550.wav	74	8
1		deviants1	beeps/Freq550.wav	75	8
1		deviants1	beeps/Freq550.wav	76	8
1		deviants1	beeps/Freq550.wav	77	8
1		deviants1	beeps/Freq500.wav	50	5
1		deviants1	beeps/Freq500.wav	51	5
1		deviants1	beeps/Freq500.wav	52	5
1		deviants1	beeps/Freq500.wav	53	5
1		deviants1	beeps/Freq500.wav	54	5
1		deviants1	beeps/Freq800.wav	170	10
1		deviants1	beeps/Freq800.wav	171	10
1		deviants1	beeps/Freq800.wav	172	10
1		deviants1	beeps/Freq800.wav	173	10
1		deviants1	beeps/Freq800.wav	174	10
1		deviants1	beeps/Freq800.wav	175	10
1		deviants1	beeps/Freq800.wav	176	10
